Purchase ID,SN,Item ID,Age,Gender,Item Name,Item Price
87,Player59,27,19,Female,Item_27,7.7
88,Player4,36,8,Male,Item_36,5.38
89,Player67,40,26,Male,Item_40,6.81
90,Player5,35,7,Male,Item_35,9.81
91,Player95,26,43,Male,Item_26,4.3
92,Player93,16,15,Male,Item_16,9.76
93,Player46,8,23,Male,Item_8,8.99
94,Player98,32,15,Male,Item_32,6.73
95,Player54,19,17,Male,Item_19,5.37
96,Player39,12,21,Female,Item_12,7.02
97,Player51,27,30,Male,Item_27,7.7
98,Player15,47,44,Male,Item_47,1.39
99,Player12,28,41,Female,Item_28,7.49
100,Player29,12,36,Male,Item_12,7.02
101,Player18,45,37,Female,Item_45,6.15
102,Player16,34,11,Male,Item_34,6.31
103,Player62,5,20,Male,Item_5,8.62
104,Player18,17,17,Female,Item_17,3.56
105,Player91,4,15,Female,Item_4,7.3
106,Player57,46,40,Female,Item_46,7.92
107,Player54,24,18,Male,Item_24,5.45
108,Player89,1,41,Male,Item_1,8.94
109,Player89,9,41,Male,Item_9,8.66
110,Player61,29,7,Male,Item_29,3.77
111,Player22,49,28,Other/Non-Disclosed,Item_49,5.23
112,Player8,44,35,Male,Item_44,5.49
113,Player11,4,14,Other/Non-Disclosed,Item_4,7.3
114,Player0,32,17,Male,Item_32,6.73
115,Player57,0,43,Male,Item_0,6.02
116,Player0,17,20,Male,Item_17,3.56
117,Player33,31,36,Female,Item_31,5.58
118,Player95,46,41,Female,Item_46,7.92
119,Player47,48,27,Female,Item_48,9.95
120,Player88,10,43,Female,Item_10,9.42
121,Player0,20,11,Female,Item_20,5.04
122,Player15,25,25,Female,Item_25,2.61
123,Player60,24,20,Male,Item_24,5.45
124,Player63,21,32,Male,Item_21,9.95
125,Player62,26,10,Male,Item_26,4.3
126,Player68,48,31,Other/Non-Disclosed,Item_48,9.95
127,Player21,12,31,Other/Non-Disclosed,Item_12,7.02
128,Player92,32,24,Male,Item_32,6.73
129,Player66,33,14,Female,Item_33,3.25
130,Player75,40,20,Other/Non-Disclosed,Item_40,6.81
131,Player25,34,38,Male,Item_34,6.31
132,Player15,0,44,Male,Item_0,6.02
133,Player50,20,39,Other/Non-Disclosed,Item_20,5.04
134,Player85,47,29,Male,Item_47,1.39
135,Player56,5,21,Female,Item_5,8.62
136,Player28,27,39,Male,Item_27,7.7
137,Player77,16,31,Other/Non-Disclosed,Item_16,9.76
138,Player91,4,23,Other/Non-Disclosed,Item_4,7.3
139,Player68,30,39,Other/Non-Disclosed,Item_30,5.88
140,Player46,4,8,Male,Item_4,7.3
141,Player93,37,20,Female,Item_37,9.15
142,Player61,2,12,Female,Item_2,2.7
143,Player68,22,12,Male,Item_22,2.58
144,Player75,36,9,Female,Item_36,5.38
145,Player15,36,13,Male,Item_36,5.38
146,Player89,9,14,Male,Item_9,8.66
147,Player89,9,21,Male,Item_9,8.66
148,Player47,18,35,Male,Item_18,3.75
149,Player84,16,39,Male,Item_16,9.76
150,Player38,20,36,Female,Item_20,5.04
151,Player99,13,33,Male,Item_13,6.23
152,Player32,8,42,Female,Item_8,8.99
153,Player93,45,35,Male,Item_45,6.15
154,Player22,0,44,Male,Item_0,6.02
155,Player9,44,39,Male,Item_44,5.49
156,Player68,12,43,Female,Item_12,7.02
157,Player99,3,33,Male,Item_3,3.51
158,Player33,0,39,Female,Item_0,6.02
159,Player51,48,10,Female,Item_48,9.95
160,Player94,39,28,Female,Item_39,4.15
161,Player9,31,8,Male,Item_31,5.58
162,Player18,33,16,Male,Item_33,3.25
163,Player57,27,11,Female,Item_27,7.7
164,Player95,30,16,Male,Item_30,5.88
165,Player0,7,39,Female,Item_7,4.64
166,Player68,38,44,Male,Item_38,4.91
167,Player3,25,19,Other/Non-Disclosed,Item_25,2.61
168,Player15,33,37,Female,Item_33,3.25
169,Player23,2,42,Other/Non-Disclosed,Item_2,2.7
170,Player79,49,30,Male,Item_49,5.23
171,Player1,11,21,Female,Item_11,8.07
172,Player91,0,35,Male,Item_0,6.02
173,Player31,43,14,Male,Item_43,3.07
174,Player90,4,11,Female,Item_4,7.3
175,Player83,29,35,Female,Item_29,3.77
176,Player23,29,10,Other/Non-Disclosed,Item_29,3.77
177,Player11,16,18,Female,Item_16,9.76
178,Player49,47,8,Male,Item_47,1.39
179,Player34,46,33,Male,Item_46,7.92
180,Player32,22,37,Female,Item_22,2.58
181,Player32,14,42,Male,Item_14,4.35
182,Player60,36,42,Male,Item_36,5.38
183,Player50,20,32,Male,Item_20,5.04
184,Player42,13,33,Male,Item_13,6.23
185,Player11,1,11,Male,Item_1,8.94
186,Player66,10,26,Male,Item_10,9.42
187,Player64,38,17,Male,Item_38,4.91
188,Player32,37,16,Male,Item_37,9.15
189,Player39,33,44,Other/Non-Disclosed,Item_33,3.25
190,Player73,37,12,Male,Item_37,9.15
191,Player42,49,14,Male,Item_49,5.23
192,Player43,33,29,Female,Item_33,3.25
193,Player28,17,32,Male,Item_17,3.56
194,Player12,29,18,Other/Non-Disclosed,Item_29,3.77
195,Player11,14,32,Female,Item_14,4.35
196,Player94,26,19,Male,Item_26,4.3
197,Player45,33,24,Male,Item_33,3.25
198,Player1,37,31,Female,Item_37,9.15
199,Player34,32,39,Other/Non-Disclosed,Item_32,6.73
200,Player86,23,18,Male,Item_23,1.16
201,Player80,14,42,Female,Item_14,4.35
202,Player89,29,10,Male,Item_29,3.77
203,Player7,41,11,Other/Non-Disclosed,Item_41,7.02
204,Player92,16,43,Male,Item_16,9.76
205,Player25,4,14,Other/Non-Disclosed,Item_4,7.3
206,Player73,28,34,Female,Item_28,7.49
207,Player89,3,37,Female,Item_3,3.51
208,Player33,9,15,Male,Item_9,8.66
209,Player6,16,35,Male,Item_16,9.76
210,Player67,9,20,Male,Item_9,8.66
211,Player57,16,28,Male,Item_16,9.76
212,Player74,19,17,Male,Item_19,5.37
213,Player28,23,29,Female,Item_23,1.16
214,Player35,4,7,Male,Item_4,7.3
215,Player88,33,43,Male,Item_33,3.25
216,Player20,5,27,Other/Non-Disclosed,Item_5,8.62
217,Player35,1,32,Female,Item_1,8.94
218,Player9,12,42,Other/Non-Disclosed,Item_12,7.02
219,Player72,42,29,Other/Non-Disclosed,Item_42,8.78
220,Player23,42,7,Male,Item_42,8.78
221,Player63,47,21,Male,Item_47,1.39
222,Player98,10,27,Female,Item_10,9.42
223,Player48,46,15,Female,Item_46,7.92
224,Player98,22,15,Male,Item_22,2.58
225,Player35,15,16,Female,Item_15,9.46
226,Player81,30,32,Male,Item_30,5.88
227,Player95,10,41,Male,Item_10,9.42
228,Player23,15,31,Male,Item_15,9.46
229,Player22,7,32,Male,Item_7,4.64
230,Player61,3,17,Male,Item_3,3.51
231,Player95,39,44,Male,Item_39,4.15
232,Player36,3,8,Female,Item_3,3.51
233,Player11,24,13,Male,Item_24,5.45
234,Player54,2,24,Male,Item_2,2.7
235,Player12,31,33,Female,Item_31,5.58
236,Player22,2,40,Other/Non-Disclosed,Item_2,2.7
237,Player88,26,33,Female,Item_26,4.3
238,Player98,28,23,Female,Item_28,7.49
239,Player29,31,30,Female,Item_31,5.58
240,Player16,49,31,Male,Item_49,5.23
241,Player61,18,13,Male,Item_18,3.75
242,Player83,20,12,Male,Item_20,5.04
243,Player88,4,30,Male,Item_4,7.3
244,Player85,17,39,Male,Item_17,3.56
245,Player12,27,35,Female,Item_27,7.7
246,Player58,41,28,Male,Item_41,7.02
247,Player18,21,32,Male,Item_21,9.95
248,Player48,20,34,Male,Item_20,5.04
249,Player99,5,27,Female,Item_5,8.62
250,Player11,0,13,Male,Item_0,6.02
251,Player60,4,23,Female,Item_4,7.3
252,Player18,40,26,Male,Item_40,6.81
253,Player75,11,26,Male,Item_11,8.07
254,Player8,25,28,Male,Item_25,2.61
255,Player70,45,34,Female,Item_45,6.15
256,Player27,33,13,Male,Item_33,3.25
257,Player77,48,7,Female,Item_48,9.95
258,Player94,13,38,Male,Item_13,6.23
259,Player51,25,19,Male,Item_25,2.61
260,Player82,44,36,Female,Item_44,5.49
261,Player15,26,29,Female,Item_26,4.3
262,Player68,8,25,Female,Item_8,8.99
263,Player98,25,38,Female,Item_25,2.61
264,Player11,46,36,Female,Item_46,7.92
265,Player24,21,35,Female,Item_21,9.95
266,Player51,46,35,Female,Item_46,7.92
267,Player84,29,36,Female,Item_29,3.77
268,Player99,42,22,Female,Item_42,8.78
269,Player52,47,25,Female,Item_47,1.39
270,Player22,16,24,Female,Item_16,9.76
271,Player15,25,7,Male,Item_25,2.61
272,Player56,35,20,Female,Item_35,9.81
273,Player38,0,8,Female,Item_0,6.02
274,Player52,7,34,Male,Item_7,4.64
275,Player41,48,36,Female,Item_48,9.95
276,Player57,34,44,Male,Item_34,6.31
277,Player38,14,10,Male,Item_14,4.35
278,Player13,46,7,Female,Item_46,7.92
279,Player94,21,14,Male,Item_21,9.95
280,Player4,13,35,Female,Item_13,6.23
281,Player34,25,9,Female,Item_25,2.61
282,Player86,27,38,Male,Item_27,7.7
283,Player92,22,16,Male,Item_22,2.58
284,Player74,13,16,Male,Item_13,6.23
285,Player17,23,25,Female,Item_23,1.16
286,Player75,1,40,Other/Non-Disclosed,Item_1,8.94
287,Player8,44,39,Female,Item_44,5.49
288,Player73,25,29,Male,Item_25,2.61
289,Player57,13,34,Female,Item_13,6.23
290,Player16,6,38,Male,Item_6,8.71
291,Player6,2,13,Female,Item_2,2.7
292,Player45,46,35,Male,Item_46,7.92
293,Player12,22,14,Female,Item_22,2.58
294,Player39,45,7,Male,Item_45,6.15
295,Player41,42,9,Other/Non-Disclosed,Item_42,8.78
296,Player8,46,30,Male,Item_46,7.92
297,Player49,44,29,Female,Item_44,5.49
298,Player26,17,14,Other/Non-Disclosed,Item_17,3.56
299,Player65,37,43,Male,Item_37,9.15
