"","Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
"13",2008,12,1,1,NA,1040,NA,1235,"MQ",4440,"N655MQ",NA,55,NA,NA,NA,"ORD","TOL",214,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"14",2008,12,1,1,NA,1045,NA,1200,"MQ",3985,"N939MQ",NA,75,NA,NA,NA,"ORD","RST",268,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"15",2008,12,1,1,NA,1050,NA,1205,"MQ",4235,"N664MQ",NA,75,NA,NA,NA,"ORD","DSM",299,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"16",2008,12,1,1,NA,1050,NA,1220,"MQ",3166,"N855MQ",NA,90,NA,NA,NA,"SNA","SFO",372,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"17",2008,12,1,1,NA,1054,NA,1107,"YV",7101,"N27314",NA,73,NA,NA,NA,"TVC","ORD",224,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"18",2008,12,1,1,NA,1054,NA,1213,"UA",1520,"",NA,139,NA,NA,NA,"PHX","SFO",651,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"19",2008,12,1,1,NA,1056,NA,1153,"OO",5434,"N235SW",NA,57,NA,NA,NA,"LAX","IYK",123,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"20",2008,12,1,1,NA,1100,NA,1207,"EV",5629,"N680BR",NA,67,NA,NA,NA,"ATL","SAV",215,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"21",2008,12,1,1,NA,1100,NA,1215,"MQ",3381,"N521MQ",NA,75,NA,NA,NA,"DFW","SGF",364,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"22",2008,12,1,1,NA,1105,NA,1255,"MQ",4011,"N620MQ",NA,50,NA,NA,NA,"ORD","FWA",157,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"23",2008,12,1,1,NA,1110,NA,1150,"MQ",3033,"N823MQ",NA,40,NA,NA,NA,"LAX","SBA",89,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"24",2008,12,1,1,NA,1110,NA,1150,"OO",2732,"N494CA",NA,40,NA,NA,NA,"MKE","ATW",96,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"25",2008,12,1,1,NA,1110,NA,1335,"B6",1422,"N283JB",NA,145,NA,NA,NA,"LGB","PDX",846,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"26",2008,12,1,1,NA,1115,NA,1153,"OO",2623,"N495CA",NA,38,NA,NA,NA,"MKE","MSN",74,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"27",2008,12,1,1,NA,1120,NA,1210,"MQ",4254,"N836MQ",NA,50,NA,NA,NA,"DBQ","ORD",147,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"28",2008,12,1,1,NA,1120,NA,1320,"MQ",3919,"N629MQ",NA,120,NA,NA,NA,"ORD","ICT",588,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"29",2008,12,1,1,NA,1125,NA,1125,"MQ",4356,"N613MQ",NA,60,NA,NA,NA,"GRR","ORD",137,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"30",2008,12,1,1,NA,1130,NA,1219,"OO",5795,"N564SW",NA,49,NA,NA,NA,"SEA","PDX",129,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"31",2008,12,1,1,NA,1130,NA,1220,"MQ",4061,"N722MQ",NA,50,NA,NA,NA,"ORD","GRB",174,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"32",2008,12,1,1,NA,1130,NA,1245,"DL",1350,"N915DE",NA,75,NA,NA,NA,"DCA","LGA",214,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"33",2008,12,1,1,NA,1130,NA,1250,"DL",1351,"N997DL",NA,80,NA,NA,NA,"LGA","DCA",214,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"34",2008,12,1,1,NA,1135,NA,1150,"MQ",4470,"N817MQ",NA,75,NA,NA,NA,"TVC","ORD",224,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"35",2008,12,1,1,NA,1138,NA,1435,"FL",404,"N273AT",NA,117,NA,NA,NA,"MKE","ATL",669,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"36",2008,12,1,1,NA,1140,NA,1229,"YV",7065,"N650ML",NA,49,NA,NA,NA,"MKE","ORD",67,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"37",2008,12,1,1,NA,1140,NA,1230,"FL",26,"N996AT",NA,110,NA,NA,NA,"ATL","MDW",590,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"38",2008,12,1,1,NA,1145,NA,1235,"MQ",4298,"N691MQ",NA,50,NA,NA,NA,"ORD","PIA",130,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"39",2008,12,1,1,NA,1150,NA,1300,"MQ",3797,"N638MQ",NA,70,NA,NA,NA,"DFW","HOU",247,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"40",2008,12,1,1,NA,1150,NA,1420,"MQ",4014,"N908MQ",NA,90,NA,NA,NA,"ORD","TYS",475,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"41",2008,12,1,1,NA,1155,NA,1255,"MQ",4212,"N615MQ",NA,60,NA,NA,NA,"ORD","CID",196,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"42",2008,12,1,1,NA,1155,NA,1415,"AA",1284,"N536AA",NA,200,NA,NA,NA,"FLL","ORD",1182,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"43",2008,12,1,1,NA,1158,NA,1250,"YV",7309,"N77195",NA,52,NA,NA,NA,"ORD","ATW",160,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"44",2008,12,1,1,NA,1200,NA,1317,"US",2127,"",NA,77,NA,NA,NA,"BOS","LGA",185,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"45",2008,12,1,1,NA,1205,NA,1300,"AA",1522,"N448AA",NA,55,NA,NA,NA,"DFW","OKC",175,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"46",2008,12,1,1,NA,1207,NA,1345,"UA",1179,"",NA,98,NA,NA,NA,"SFO","LAX",337,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"47",2008,12,1,1,NA,1213,NA,1308,"OO",5434,"N235SW",NA,55,NA,NA,NA,"IYK","LAX",123,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"48",2008,12,1,1,NA,1215,NA,1255,"OO",2737,"N494CA",NA,40,NA,NA,NA,"ATW","MKE",96,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"49",2008,12,1,1,NA,1215,NA,1305,"MQ",3032,"N823MQ",NA,50,NA,NA,NA,"SBA","LAX",89,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"50",2008,12,1,1,NA,1218,NA,1255,"OO",2874,"N495CA",NA,37,NA,NA,NA,"MSN","MKE",74,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"51",2008,12,1,1,NA,1220,NA,1330,"MQ",4310,"N925MQ",NA,130,NA,NA,NA,"CLT","ORD",599,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"52",2008,12,1,1,NA,1220,NA,1349,"OO",6163,"N919SW",NA,89,NA,NA,NA,"ORD","OMA",416,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"53",2008,12,1,1,NA,1220,NA,1354,"OO",5783,"N568SW",NA,94,NA,NA,NA,"SFO","CEC",304,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"54",2008,12,1,1,NA,1225,NA,1335,"MQ",3988,"N939MQ",NA,70,NA,NA,NA,"RST","ORD",268,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"55",2008,12,1,1,NA,1225,NA,1350,"YV",7251,"N513MJ",NA,85,NA,NA,NA,"CLT","IAD",321,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"56",2008,12,1,1,NA,1225,NA,1435,"MQ",3933,"N693MQ",NA,70,NA,NA,NA,"ORD","CVG",264,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"57",2008,12,1,1,NA,1230,NA,1345,"MQ",4244,"N664MQ",NA,75,NA,NA,NA,"DSM","ORD",299,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"58",2008,12,1,1,NA,1231,NA,1410,"YV",7106,"N77331",NA,99,NA,NA,NA,"ORD","FSD",462,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"59",2008,12,1,1,NA,1235,NA,1416,"OH",6820,"N914CA",NA,101,NA,NA,NA,"CLE","JFK",425,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"60",2008,12,1,1,NA,1240,NA,1320,"MQ",4085,"N628MQ",NA,40,NA,NA,NA,"ORD","MKE",67,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"61",2008,12,1,1,NA,1245,NA,1340,"MQ",4063,"N722MQ",NA,55,NA,NA,NA,"GRB","ORD",174,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"62",2008,12,1,1,NA,1245,NA,1405,"MQ",3382,"N521MQ",NA,80,NA,NA,NA,"SGF","DFW",364,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"63",2008,12,1,1,NA,1245,NA,1430,"MQ",4474,"N699MQ",NA,165,NA,NA,NA,"JAX","ORD",865,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"64",2008,12,1,1,NA,1247,NA,1355,"EV",5629,"N680BR",NA,68,NA,NA,NA,"SAV","ATL",215,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"65",2008,12,1,1,NA,1250,NA,1420,"MQ",3187,"N855MQ",NA,90,NA,NA,NA,"SFO","SNA",372,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"66",2008,12,1,1,NA,1300,NA,1315,"MQ",4441,"N655MQ",NA,75,NA,NA,NA,"TOL","ORD",214,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"67",2008,12,1,1,NA,1300,NA,1315,"MQ",4491,"N624MQ",NA,75,NA,NA,NA,"IND","ORD",177,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"68",2008,12,1,1,NA,1300,NA,1355,"MQ",4410,"N724MQ",NA,55,NA,NA,NA,"ORD","SPI",174,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"69",2008,12,1,1,NA,1300,NA,1400,"MQ",4268,"N691MQ",NA,60,NA,NA,NA,"PIA","ORD",130,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"70",2008,12,1,1,NA,1300,NA,1520,"DL",841,"N908DL",NA,140,NA,NA,NA,"EWR","ATL",745,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"71",2008,12,1,1,NA,1305,NA,1435,"MQ",4314,"N652MQ",NA,90,NA,NA,NA,"PIT","JFK",340,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"72",2008,12,1,1,NA,1305,NA,1500,"YV",7154,"N75993",NA,55,NA,NA,NA,"ORD","FWA",157,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"73",2008,12,1,1,NA,1305,NA,1554,"FL",656,"N996AT",NA,109,NA,NA,NA,"MDW","ATL",590,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"74",2008,12,1,1,NA,1310,NA,1425,"YV",7051,"N75987",NA,75,NA,NA,NA,"ORD","DSM",299,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"75",2008,12,1,1,NA,1315,NA,1427,"US",970,"",NA,72,NA,NA,NA,"PHL","BOS",280,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"76",2008,12,1,1,NA,1315,NA,1517,"OO",5862,"N959SW",NA,62,NA,NA,NA,"ORD","MBS",222,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"77",2008,12,1,1,NA,1315,NA,1545,"MQ",4057,"N689MQ",NA,90,NA,NA,NA,"ORD","BUF",473,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"78",2008,12,1,1,NA,1318,NA,1417,"YV",7309,"N77195",NA,59,NA,NA,NA,"ATW","ORD",160,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"79",2008,12,1,1,NA,1319,NA,1424,"OO",5482,"N393SW",NA,65,NA,NA,NA,"SFO","RDD",199,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"80",2008,12,1,1,NA,1320,NA,1320,"MQ",4294,"N620MQ",NA,60,NA,NA,NA,"FWA","ORD",157,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"81",2008,12,1,1,NA,1320,NA,1415,"MQ",4293,"N610MQ",NA,115,NA,NA,NA,"CHA","ORD",501,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"82",2008,12,1,1,NA,1320,NA,1425,"MQ",4239,"N615MQ",NA,65,NA,NA,NA,"CID","ORD",196,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"83",2008,12,1,1,NA,1323,NA,1410,"OO",5718,"N567SW",NA,47,NA,NA,NA,"SFO","MOD",78,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"84",2008,12,1,1,NA,1325,NA,1435,"MQ",3798,"N638MQ",NA,70,NA,NA,NA,"HOU","DFW",247,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"85",2008,12,1,1,NA,1325,NA,1750,"AA",732,"N416AA",NA,205,NA,NA,NA,"DFW","LGA",1389,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"86",2008,12,1,1,NA,1330,NA,1445,"DL",1355,"N915DE",NA,75,NA,NA,NA,"LGA","DCA",214,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"87",2008,12,1,1,NA,1335,NA,1415,"OO",2792,"N498CA",NA,40,NA,NA,NA,"MKE","GRB",107,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"88",2008,12,1,1,NA,1340,NA,1600,"WN",714,"N612SW",NA,80,NA,NA,NA,"LAX","PHX",370,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"89",2008,12,1,1,NA,1345,NA,1435,"MQ",4124,"N906MQ",NA,50,NA,NA,NA,"ORD","CMI",135,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"90",2008,12,1,1,NA,1345,NA,1440,"MQ",4086,"N628MQ",NA,55,NA,NA,NA,"MKE","ORD",67,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"91",2008,12,1,1,NA,1345,NA,1445,"AA",515,"N448AA",NA,60,NA,NA,NA,"OKC","DFW",175,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"92",2008,12,1,1,NA,1345,NA,1540,"MQ",3920,"N629MQ",NA,115,NA,NA,NA,"ICT","ORD",588,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"93",2008,12,1,1,NA,1346,NA,1448,"FL",446,"N952AT",NA,122,NA,NA,NA,"ATL","MKE",669,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"94",2008,12,1,1,NA,1350,NA,1652,"B6",422,"N559JB",NA,182,NA,NA,NA,"PBI","BOS",1197,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"95",2008,12,1,1,NA,1355,NA,1645,"MQ",4139,"N656MQ",NA,110,NA,NA,NA,"ORD","RIC",642,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"96",2008,12,1,1,NA,1355,NA,2135,"AS",858,"N557AS",NA,340,NA,NA,NA,"OGG","SEA",2640,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"97",2008,12,1,1,NA,1400,NA,1525,"MQ",4044,"N655MQ",NA,85,NA,NA,NA,"ORD","BNA",409,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"98",2008,12,1,1,NA,1400,NA,1830,"AA",1432,"N594AA",NA,210,NA,NA,NA,"DFW","EWR",1372,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"99",2008,12,1,1,NA,1408,NA,1634,"OO",5932,"N918SW",NA,86,NA,NA,NA,"ORD","CRW",416,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"100",2008,12,1,1,NA,1410,NA,1629,"B6",1423,"N283JB",NA,139,NA,NA,NA,"PDX","LGB",846,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"101",2008,12,1,1,NA,1415,NA,1525,"OO",2753,"N506CA",NA,70,NA,NA,NA,"MKE","DSM",311,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"102",2008,12,1,1,NA,1418,NA,1635,"OO",5914,"N932SW",NA,77,NA,NA,NA,"ORD","LEX",323,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"103",2008,12,1,1,NA,1425,NA,1505,"MQ",3441,"N611MQ",NA,40,NA,NA,NA,"DFW","ACT",89,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"104",2008,12,1,1,NA,1426,NA,1509,"OO",5450,"N581SW",NA,43,NA,NA,NA,"SFO","MRY",77,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"105",2008,12,1,1,NA,1429,NA,1601,"OO",6163,"N919SW",NA,92,NA,NA,NA,"OMA","ORD",416,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"106",2008,12,1,1,NA,1430,NA,1535,"MQ",4411,"N724MQ",NA,65,NA,NA,NA,"SPI","ORD",174,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"107",2008,12,1,1,NA,1430,NA,1550,"AA",1816,"N227AA",NA,80,NA,NA,NA,"DFW","MEM",432,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"108",2008,12,1,1,NA,1430,NA,1554,"UA",118,"",NA,84,NA,NA,NA,"LAX","SFO",337,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"109",2008,12,1,1,NA,1433,NA,1706,"YV",7146,"N75995",NA,93,NA,NA,NA,"ORD","TYS",475,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"110",2008,12,1,1,NA,1435,NA,1754,"B6",439,"N645JB",NA,199,NA,NA,NA,"BOS","TPA",1185,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"111",2008,12,1,1,NA,1437,NA,1609,"OO",5783,"N568SW",NA,92,NA,NA,NA,"CEC","SFO",304,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"112",2008,12,1,1,NA,1439,NA,1616,"OO",5423,"N292SW",NA,97,NA,NA,NA,"SFO","MFR",329,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"113",2008,12,1,1,NA,1440,NA,1520,"OO",2793,"N498CA",NA,40,NA,NA,NA,"GRB","MKE",107,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"114",2008,12,1,1,NA,1440,NA,1614,"YV",7106,"N77331",NA,94,NA,NA,NA,"FSD","ORD",462,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"115",2008,12,1,1,NA,1440,NA,1655,"OO",2826,"N403SW",NA,75,NA,NA,NA,"MKE","CLE",328,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"116",2008,12,1,1,NA,1443,NA,1600,"YV",7253,"N513MJ",NA,77,NA,NA,NA,"IAD","BDL",326,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"117",2008,12,1,1,NA,1445,NA,1535,"MQ",3909,"N908MQ",NA,110,NA,NA,NA,"TYS","ORD",475,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"118",2008,12,1,1,NA,1445,NA,1546,"YV",2845,"N989HA",NA,61,NA,NA,NA,"PHX","FLG",119,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"119",2008,12,1,1,NA,1445,NA,1615,"MQ",3167,"N805MQ",NA,90,NA,NA,NA,"SFO","SNA",372,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"120",2008,12,1,1,NA,1449,NA,1656,"UA",467,"",NA,247,NA,NA,NA,"BWI","DEN",1491,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"121",2008,12,1,1,NA,1450,NA,1525,"OO",5718,"N567SW",NA,35,NA,NA,NA,"MOD","SFO",78,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"122",2008,12,1,1,NA,1450,NA,1541,"YV",7084,"N47202",NA,51,NA,NA,NA,"ORD","MSN",109,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"123",2008,12,1,1,NA,1450,NA,1555,"MQ",4653,"N803MQ",NA,65,NA,NA,NA,"DCA","RDU",227,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"124",2008,12,1,1,NA,1450,NA,1616,"OO",5788,"N284YV",NA,86,NA,NA,NA,"FAT","LAS",258,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"125",2008,12,1,1,NA,1451,NA,1630,"EV",4915,"N754EV",NA,99,NA,NA,NA,"ATL","CAK",528,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"126",2008,12,1,1,NA,1500,NA,1530,"MQ",4306,"N693MQ",NA,90,NA,NA,NA,"CVG","ORD",264,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"127",2008,12,1,1,NA,1500,NA,1600,"MQ",4129,"N906MQ",NA,60,NA,NA,NA,"CMI","ORD",135,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"128",2008,12,1,1,NA,1500,NA,1615,"OO",6298,"N743SK",NA,75,NA,NA,NA,"ORD","DSM",299,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"129",2008,12,1,1,NA,1502,NA,1620,"YV",7051,"N75987",NA,78,NA,NA,NA,"DSM","ORD",299,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"130",2008,12,1,1,NA,1524,NA,1722,"OO",5946,"N465SW",NA,118,NA,NA,NA,"ORD","ICT",588,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"131",2008,12,1,1,NA,1525,NA,1700,"MQ",4228,"N628MQ",NA,95,NA,NA,NA,"ORD","SGF",438,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"132",2008,12,1,1,NA,1525,NA,1705,"MQ",4116,"N621MQ",NA,100,NA,NA,NA,"ORD","MEM",491,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"133",2008,12,1,1,NA,1528,NA,1530,"YV",7154,"N75993",NA,62,NA,NA,NA,"FWA","ORD",157,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"134",2008,12,1,1,NA,1528,NA,1827,"FL",441,"N952AT",NA,119,NA,NA,NA,"MKE","ATL",669,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"135",2008,12,1,1,NA,1529,NA,1606,"OO",5415,"N581SW",NA,37,NA,NA,NA,"MRY","SFO",77,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"136",2008,12,1,1,NA,1530,NA,1615,"MQ",3384,"N611MQ",NA,45,NA,NA,NA,"ACT","DFW",89,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"137",2008,12,1,1,NA,1530,NA,1647,"DL",1358,"N915DE",NA,77,NA,NA,NA,"DCA","LGA",214,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"138",2008,12,1,1,NA,1530,NA,1719,"US",714,"",NA,109,NA,NA,NA,"BOS","PHL",280,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"139",2008,12,1,1,NA,1530,NA,1729,"OO",5884,"N916SW",NA,119,NA,NA,NA,"ORD","TUL",585,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"140",2008,12,1,1,NA,1535,NA,1710,"AA",515,"N448AA",NA,95,NA,NA,NA,"DFW","MFE",468,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"141",2008,12,1,1,NA,1540,NA,1725,"MQ",4315,"N935MQ",NA,105,NA,NA,NA,"JFK","PIT",340,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"142",2008,12,1,1,NA,1542,NA,1635,"OO",5757,"N298SW",NA,53,NA,NA,NA,"PDX","SEA",129,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"143",2008,12,1,1,NA,1544,NA,1555,"OO",5862,"N959SW",NA,71,NA,NA,NA,"MBS","ORD",222,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"144",2008,12,1,1,NA,1544,NA,1654,"OO",5674,"N393SW",NA,70,NA,NA,NA,"RDD","SFO",199,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"145",2008,12,1,1,NA,1545,NA,1728,"OO",6023,"N726SK",NA,103,NA,NA,NA,"ORD","MEM",491,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"146",2008,12,1,1,NA,1548,NA,1735,"OO",6189,"N915SW",NA,107,NA,NA,NA,"ORD","XNA",522,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"147",2008,12,1,1,NA,1550,NA,1655,"AA",1351,"N413AA",NA,65,NA,NA,NA,"DFW","XNA",281,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"148",2008,12,1,1,NA,1550,NA,1715,"MQ",3184,"N854MQ",NA,85,NA,NA,NA,"SNA","SFO",372,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"149",2008,12,1,1,NA,1550,NA,1717,"US",385,"",NA,87,NA,NA,NA,"LAS","SMF",397,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"150",2008,12,1,1,NA,1550,NA,1735,"MQ",4494,"N655MQ",NA,105,NA,NA,NA,"BNA","ORD",409,NA,NA,1,"C",0,NA,NA,NA,NA,NA
